unit_id	source_id	kind	label	source_location	source_data	route	action	search_key	mapping_hint	mapping_record
FC01-C00-U001	FC01	Convention/notation	subset-builder-notation		subset-builder-notation	missing	reuse	subset-builder-notation	broad match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C00-U002	FC01	Convention/notation	cardinality-notation		cardinality-notation	missing	reuse	cardinality-notation	broad match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C00-U003	FC01	Definition/construction	cartesian-product		cartesian-product	missing	reuse	cartesian-product	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C00-U004	FC01	Convention/notation	standard-number-set-notation		standard-number-set-notation	missing	reuse	standard-number-set-notation	broad match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C00-U005	FC01	Convention/notation	function-conventions		function-conventions	missing	reuse	function-conventions	broad match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C00-U006	FC01	Definition/convention	well-defined-function		well-defined-function	missing	reuse	well-defined-function	broad match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C00-U007	FC01	Definition/notation	image-preimage-fiber		image-preimage-fiber	missing	reuse	image-preimage-fiber	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C00-U008	FC01	Definition	injective-surjective-bijective		injective-surjective-bijective	missing	reuse	injective-surjective-bijective	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C00-U010	FC01	Definition/notation	inverse-map		inverse-map	missing	reuse	inverse-map	broad match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C00-U011	FC01	Definition/notation	restriction		restriction	missing	reuse	restriction	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C00-U012	FC01	Definition	extension		extension	missing	reuse	extension	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C00-U013	FC01	Definition	binary-relation		binary-relation	missing	reuse	binary-relation	broad match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C00-U014	FC01	Definition	equivalence-relation		equivalence-relation	missing	reuse	equivalence-relation	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C00-U015	FC01	Definition	equivalence-class		equivalence-class	missing	reuse	equivalence-class	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C00-U016	FC01	Definition	partition		partition	missing	reuse	partition	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C00-U019	FC01	Definition/notation	integer-divisibility		integer-divisibility	missing	reuse	integer-divisibility	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C00-U020	FC01	Definition/theorem	gcd-integers		gcd-integers	missing	reuse	gcd-integers	broad match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C00-U021	FC01	Definition	relatively-prime		relatively-prime	missing	reuse	relatively-prime	broad match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C00-U022	FC01	Definition/theorem	lcm-integers		lcm-integers	missing	reuse	lcm-integers	broad match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C00-U023	FC01	Theorem/construction	integer-division-algorithm		integer-division-algorithm	missing	reuse	integer-division-algorithm	broad match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C00-U026	FC01	Definition	prime-composite-Z		prime-composite-Z	missing	reuse	prime-composite-Z	broad match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C00-U030	FC01	Definition	euler-phi		euler-phi	missing	reuse	euler-phi	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C00-U032	FC01	Definition/notation	congruence-mod-n		congruence-mod-n	missing	reuse	congruence-mod-n	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C00-U033	FC01	Construction/notation	Zmodn		Zmodn	missing	reuse	Zmodn	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C00-U034	FC01	Construction	modular-arithmetic		modular-arithmetic	missing	reuse	modular-arithmetic	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C00-U036	FC01	Definition/notation	units-Zmodn		units-Zmodn	missing	reuse	units-Zmodn	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C01-U001	FC01	Definition	binary-operation		binary-operation	missing	reuse	binary-operation	broad match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C01-U002	FC01	Definition	group		group	missing	reuse	group	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C01-U004	FC01	Construction/example	product-group-two		product-group-two	missing	reuse	product-group-two	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C01-U006	FC01	Convention/notation	multiplicative-notation		multiplicative-notation	missing	reuse	multiplicative-notation	broad match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C01-U008	FC01	Definition	element-order		element-order	missing	reuse	element-order	broad match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C01-U009	FC01	Definition	group-table		group-table	missing	reuse	group-table	broad match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C01-U010	FC01	Construction/definition	dihedral-group		dihedral-group	missing	reuse	dihedral-group	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C01-U011	FC01	Construction/comparison	dihedral-standard-generators		dihedral-standard-generators	missing	reuse	dihedral-standard-generators	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C01-U012	FC01	Definition	generating-set-informal		generating-set-informal	missing	reuse	generating-set-informal	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C01-U013	FC01	Definition	relation		relation	missing	reuse	relation	broad match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C01-U014	FC01	Definition/notation	presentation-informal		presentation-informal	missing	reuse	presentation-informal	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C01-U017	FC01	Definition/construction	symmetric-group		symmetric-group	missing	reuse	symmetric-group	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C01-U018	FC01	Definition/notation	cycle		cycle	missing	reuse	cycle	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C01-U019	FC01	Algorithm/construction	cycle-decomposition-algorithm		cycle-decomposition-algorithm	missing	reuse	cycle-decomposition-algorithm	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
